N,P,K,temperature,humidity,moisture,soil_type_Black,soil_type_Clayey,soil_type_Loamy,soil_type_Red,soil_type_Sandy,label
0.0,-1.1921267557907258,0.0,-0.9689397780385638,-0.8818465632432928,-0.44308846376660355,0.0,0.0,0.0,0.0,1.0,Maize
0.0,1.371897973504367,0.0,-0.2989951644639801,-0.8818465632432928,0.11267137557117402,0.0,0.0,1.0,0.0,0.0,Sugarcane
0.0,0.8756351226730588,0.0,0.8175791914936593,0.7080067990162997,1.462373842534348,1.0,0.0,0.0,0.0,0.0,Cotton
0.0,0.04853037128754491,0.0,0.37094944911060357,0.34111756157177836,-0.7606655148167621,0.0,0.0,0.0,1.0,0.0,Tobacco
0.0,-1.1921267557907258,0.0,-0.522310035655508,-0.6372537382802785,0.19206563833371365,0.0,1.0,0.0,0.0,0.0,Paddy
0.0,-0.5304429546823148,0.0,-0.9689397780385638,-0.8818465632432928,-0.6812712520542225,0.0,0.0,0.0,0.0,1.0,Barley
0.0,-0.778574380097969,0.0,-1.1922546492300918,-1.126439388206307,1.6211623680594274,0.0,0.0,0.0,1.0,0.0,Cotton
0.0,-1.1921267557907258,0.0,0.5942643203021315,0.5857103865347926,0.5096426893838722,0.0,0.0,1.0,0.0,0.0,Wheat
0.0,-0.11689057898955788,0.0,-0.07568029327245224,0.09652473660876414,-0.12551141271644495,0.0,0.0,0.0,0.0,1.0,Millets
0.0,0.8756351226730588,0.0,-0.2989951644639801,-0.1480680883542501,-0.8400597775793018,1.0,0.0,0.0,0.0,0.0,Oil seeds
0.0,1.7027398740585726,0.0,-0.745624906847036,-0.6372537382802785,-1.237031091392,0.0,1.0,0.0,0.0,0.0,Pulses
0.0,-0.6131534298208662,0.0,0.14763457791907567,0.34111756157177836,0.350854163858793,0.0,0.0,0.0,0.0,1.0,Maize
0.0,-1.1921267557907258,0.0,-1.1922546492300918,-1.126439388206307,1.700556630821967,0.0,0.0,1.0,0.0,0.0,Cotton
0.0,0.2139513215646477,0.0,0.37094944911060357,0.34111756157177836,-0.20490567547898458,0.0,1.0,0.0,0.0,0.0,Paddy
0.0,1.785450349197124,0.0,-0.9689397780385638,-0.8818465632432928,-0.9988483031043811,0.0,0.0,0.0,1.0,0.0,Ground Nuts
0.0,-0.44773247954376344,0.0,0.14763457791907567,0.34111756157177836,0.4302484266213326,1.0,0.0,0.0,0.0,0.0,Sugarcane
0.0,-1.1921267557907258,0.0,0.5942643203021315,0.5857103865347926,-0.7606655148167621,0.0,1.0,0.0,0.0,0.0,Pulses
